Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/batch/3089aba8-dd4d-4e73-8c70-8cbedac6dbf0,7,0,5,68.49447142927342,2.8443000046536326,426.35790000349516,3737.8571428571427,0.01008829459940632,0.0,5,9,29,29,430,430,430,430,430,430,430
GET,/batch/3182beca-4188-42f0-bb2d-683b3912d7d4,11,0,6,101.59818181802456,3.0919999990146607,785.4837999984738,2955.909090909091,0.015853034370495647,0.0,6,11,22,22,260,790,790,790,790,790,790
GET,/batch/328e0fd2-ec87-4532-b28e-27556ee9809c,7,0,22,73.1505285719842,5.937300004006829,228.06049999780953,4007.0,0.01008829459940632,0.0,22,34,200,200,230,230,230,230,230,230,230
GET,/batch/33771126-09b8-414d-9391-29f1fe6d1140,6,0,6,11.59561666766725,3.205699998943601,39.41850000410341,3058.8333333333335,0.00864710965663399,0.0,6,6,9,9,39,39,39,39,39,39,39
GET,/batch/337c7bea-7851-4134-8a30-fbf23054202b,12,0,6,7.7997333331344025,3.8960000019869767,16.882099997019395,4396.25,0.01729421931326798,0.0,7,7,12,12,13,17,17,17,17,17,17
GET,/batch/33cc03e9-d64a-4451-8070-05d9bcadc9c2,5,0,5,7.083239998610225,2.4701000002096407,19.12589999847114,4403.4,0.007205924713861658,0.0,5,6,6,19,19,19,19,19,19,19,19
GET,/batch/35fc8a88-5c20-4031-bc5e-45984282110c,10,0,5,7.327480000094511,2.740500000072643,20.436699996935204,2369.7,0.014411849427723316,0.0,5,5,6,18,20,20,20,20,20,20,20
GET,/batch/36956783-ab63-4e76-bd58-0fb227e1826e,10,0,8,23.68376000013086,2.8202999965287745,95.9554000000935,2683.8,0.014411849427723316,0.0,12,27,34,44,96,96,96,96,96,96,96
GET,/batch/372cf1d9-3c30-4481-a562-b15171afb16a,10,0,4,12.498699999559904,2.8088999970350415,87.8283000056399,3665.8,0.014411849427723316,0.0,4,4,5,6,88,88,88,88,88,88,88
GET,/batch/379f7448-c728-4343-8367-54f275461c59,8,0,8,23.58436249960505,3.7383000017143786,115.83059999975376,2750.875,0.011529479542178653,0.0,11,15,23,23,120,120,120,120,120,120,120
GET,/batch/38ad6af2-3906-4412-9c02-956e5752fe06,10,0,17,42.05130999980611,3.247900000133086,115.92380000365665,2812.0,0.014411849427723316,0.0,30,66,80,94,120,120,120,120,120,120,120
GET,/batch/38f0da4a-3234-4ac9-a4e0-029344d24d31,8,0,15,21.26991249861021,3.4142000004067086,54.598800001258496,3558.125,0.011529479542178653,0.0,15,27,36,36,55,55,55,55,55,55,55
GET,/batch/39f88342-b9b2-4308-9f12-ba79579496e6,11,0,13,28.290763636257246,3.1230999957188033,125.80230000457959,2283.181818181818,0.015853034370495647,0.0,13,31,32,32,58,130,130,130,130,130,130
GET,/batch/3a25c1ab-fa65-4ea4-ab54-88be863e6a80,11,0,4,5.12789999960329,2.788500001770444,14.44890000129817,1954.8181818181818,0.015853034370495647,0.0,4,4,6,6,8,14,14,14,14,14,14
GET,/batch/3c42e72b-c4d5-4a8f-8672-3adfd1845b03,11,0,9,39.670181819184855,3.1219000011333264,243.2291000004625,2365.6363636363635,0.015853034370495647,0.0,9,37,48,48,58,240,240,240,240,240,240
GET,/batch/3c5ea201-279c-4b1c-901d-a1df547a6db0,8,0,7,10.997900000802474,2.7458999975351617,40.07930000079796,2957.75,0.011529479542178653,0.0,8,8,12,12,40,40,40,40,40,40,40
